,Test Score,Accuracy,Recall,F1,avg_times
Decision Tree,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.7889662633776939,0.024198399899955803
Support Vector Machine,0.6772486772486772,0.6772486772486772,0.6772486772486772,0.6653475673040734,0.4271312882999837
Neural Network,0.7341269850730896,0.7341269841269841,0.7341269841269841,0.7311448043290447,33.83225013389998
Logistic Regression,0.4656084656084656,0.4656084656084656,0.4656084656084656,0.4593445788514521,0.4187663850000945
